IDOcorrencia,IDLocal
2285664671,1916
2285664671,1701
2285664671,1887
2285671253,685
2285603849,1204
2285603849,1618
2285603849,828
2285651081,1202
2285654677,812
2285651081,1045
2285603433,1886
2285649806,1401
2285603433,443
2285643060,1315
2285643060,54
2285603097,1353
2285613150,1639
2285603097,54
2285603097,585
2285603097,941
2285657675,725
2285649156,1143
2285606266,496
2285606266,1065
2285661220,2000
2285606266,93
2285606266,36
2285606266,25
2285645683,1644
2285656432,401
2285656432,787
2285644822,1720
2285659952,559
2285600408,1202
2285659952,37
2285600408,127
2285659952,2044
2285659952,420
2285659952,2080
2285607276,1307
2285617988,2388
2285659952,381
2285664679,1720
2285671257,188
2285664679,1601
2285671257,230
2285671257,501
2285671257,1653
2285671257,508
2285653321,492
2285659260,1426
2285659260,310
2285659260,495
2285659260,937
2285649440,1547
2285643065,2136
2285659260,936
2285661304,161
2285661304,162
2285645691,1639
2285661304,515
2285616932,1745
2285665544,2090
2285661217,1440
2285640737,1559
2285659252,1053
2285659252,651
2285659252,1849
2285659252,565
2285659252,960
2285659252,541
2285611396,1581
2285657672,1208
2285634565,1440
2285634565,1701
2285649435,1120
2285600400,161
2285600400,162
2285646600,2063
2285643534,1409
2285643534,2090
2285664148,124
2285664148,420
2285603426,1741
2285603426,564
2285664148,883
2285666575,1718
2285650262,805
2285662766,1896
2285670815,2174
2285657670,1565
2285662766,1323
2285656431,1693
2285670815,932
2285654673,1118
2285659944,2028
2285670815,690
2285670815,1236
2285603855,1888
2285649803,1868
2285656431,1670
2285670815,1845
2285659942,770
2285603093,1616
2285659942,113
2285666988,428
2285668777,2048
2285666988,1883
2285651072,2383
2285651072,1120
2285634561,1718
2285645680,1060
2285665809,980
2285672729,690
2285650254,1631
2285651076,575
2285607262,72
2285607262,1010
2285643528,1286
2285607262,1065
2285607262,90
2285607262,1261
2285607262,1124
2285653312,1358
2285664142,1358
2285653115,812
2285607263,1210
2285607263,187
2285607263,208
2285607263,1653
2285653115,685
2285655111,675
2285649796,2006
2285668779,1987
2285672727,1741
2285611668,2155
2285650558,996
2285650558,1459
2285650558,49
2285650558,1537
2285650558,12
2285650558,1322
2285650558,1729
2285610848,1312
2285650558,88
2285650558,1087
2285650558,888
2285650558,1261
2285650558,75
2285650250,2023
2294952961,95
2285664945,95
2294952961,888
2285664945,888
2285664663,2198
2285650250,1923
2285634560,1854
2285654669,2090
2285605893,2170
2285664661,237
2285659943,2235
2285603843,1344
2285665545,1714
2285603843,1170
2285603843,90
2285661207,1717
2285603843,54
2285603843,333
2285603843,184
2285603843,489
2285661212,180
2285652644,1905
2285640304,661
2285640304,1459
2285640304,2102
2285663892,933
2285653109,180
2285651988,1857
2285610845,2195
2285651988,1854
2303036178,752
2403161115,1847
2289229745,103
2289229745,1605
2289229745,2168
2289229745,1152
2290452561,1871
2290452561,1579
2330130474,2300
2289229745,936
2298369146,1522
2298369146,2304
2311467946,447
2301440421,1478
2301440421,2330
2301440421,127
2391518365,1540
2312905488,1626
2391518365,2300
2330033004,1400
2330033004,420
2313330331,514
2320654372,2242
2321938020,1642
2321576198,310
2321938020,1643
2320719676,1592
2337650500,1073
2337650500,1139
2332138509,449
2337650500,54
2337650500,1523
2337883048,1905
2337650500,714
2343273249,1099
2332138509,293
2337650500,1709
2347105399,1887
2339224436,361
2341531914,2401
2339224436,280
2344722340,1944
2338656090,771
2341111646,2357
2386405126,2042
2339284111,2106
2386405126,1754
2395659651,1069
2339459188,2320
2347518473,1093
2347518473,968
2337273517,932
2337273517,1845
2380927747,1904
2344320094,353
2341575715,2059
2380927747,2440
2356542368,530
2349378957,1657
2349231635,2162
2348073598,2176
2348073598,575
2351691110,2090
2354040167,37
2351691110,900
2348864376,1905
2350621553,1458
2371149389,496
2371149389,847
2449956248,2236
2448003680,1916
2534184339,2228
2454463566,2028
2700547507,410
2453987106,1772
2459127340,353
2459127340,1623
2457130673,1632
2467416141,1995
2467416141,862
2463111175,1379
2463111175,1194
2460437414,94
2461379178,2059
2470165523,1620
2463309322,504
2463275347,1226
